class,message
0,สั่งชุดไก่พริกไทยดำมาทาน เค็มมากค่ะ อธิบายไม่ถูกเลยหาความอร่อยไม่เจอเลยค่ะ สาขาเดอะมอล์โคราช
0,อาหารคุณภาพลดลง บางสาขารสชาดไม่อร่อย แต่ราคาแพงขึ้นค่ะ รบกวนปรับปรุงด่วนค่ะ
0,ดีเรื่องอาหาร แต่ไม่ดีเลยเรื่องการจำกัดเวลา เร็วไป กว่าอาหารจะมาก็นานพอควร พาเด็กไปด้วย ยิ่งช้าอีก 1 ชม. พนง.เอาบิลมาวาง(ทานต่อได้ค่ะ) เร็วไปไหม ทานอาหารแบบสบายๆ ไม่ใช่รีบๆน่ะค่ะ(นิสัยคนไทยเอาบิลมาวางคือมาเร่งจะนั่งต่อก็รู้สึกอึดอัดคือเกรงใจค่ะ)
0,"เมื่อวันที่ 18 ตค เข้าไปที่สาขา The Riverside ตรงถนนเจริญนครค่ะ ไม่มีบล็อคโคลี่ในสลัดบาร์ พนักงานแจ้งว่า วันนี้ไม่มี ของไม่มาส่ง เนื่องจากเราชอบรับประทานบล็อคโคลี่มาก เราเลยถามย้ำว่า ไม่ได้ตัดออกจากเมนูสลัดใช่มั้ย พนักงานยืนยันว่าไม่ตัดออกค่ะ. วันนี้(25 ตค) เข้าไปทานอีกรอบ สรุปบอกว่าไม่มีบล็อคโคลี่ในสลัดบาร์แล้ว คือตัดออกจริงๆทุกสาขารึเปล่าคะ รบกวนตอบด้วยนะคะ เพื่อการตัดสินใจรับประทานร้าน sizzler ในครั้งต่อไปค่ะ ขอบคุณค่ะ"
0,ราคาแพงขึ้น คุณภาพแย่ลง และต้องการทวงคืนมันบดกลับมา!!!
0,วันนี้เข้าไปทานที่สาขาสยามดิสค่ะ เมลอนรสชาติจืดมากๆ ปกติจะหวาน เพราะมากินสาขานี้เป็นประจำ TT
0,สาขาเซลทรัลปิ่นเมื่อวานตอนทุ่มครึ่งซุปเห็ดหมดกว่าจะออกประมาณ 15 นาที ผลไม้แทบไม่เหลือที่เหลือๆ นิดหน่อยสัปรดไม่กี่ชิ้น ชิ้นไม่สวยขาวๆ แคนตาลูปเหลือชิ้นเล็กๆนิดหน่อย ทานสลัดจนอิ่มอาหารหลักยังไม่ออกเลย นั่งรออาหารหลักต่อสักพักให้ใส่ถุงกลับบ้าน สลัดเดี๋ยวนี้หน้าตาไม่ค่อยดูน่าทานเหมือนสมัยก่อน ของน้อยลง
0,"โดยส่วนตัวแล้วชอบทานsizzlerมากๆเลยนะคะแต่มื้อเที่ยงของวันนี้ ไปใช้บริการที่สาขาเมกาบางนา ซุปหมดและนานกว่าพี่พนักงานจะมาเติม แต่ไม่ได้ทำให้เสียอารมณ์เท่ากับตอนจ่ายตัง ที่โดนพนักงานเก็บตังเหวี่ยงใส่ จากกรณีที่พนักงานให้เซนชื่อที่ใบเสร้จเพื่อใช้สิทธิ์ส่วนลด แต่ด้วยความที่ไม่เห็นว่ามีเส้นขีดให้เซนตรงไหน เลยงงว่าต้องทำยังไง ละแล้วสุดท้ายพนักงานก็เหวี่ยงใส่ว่า""เซนตรงไหนก็ได้!!"" มันคืออะไรที่ต้องมาเหวี่ยงใส่ลูกค้าคะ งงละหงุดหงิดมากเลยคะ จึงเรียนมาเพื่อทราบและปรับปรุงต่อไปเพื่อไม่ให้เกิดเหตุการณ์เดิมซ้ำกับลูกค้าท่านอื่น"
0,เมนูสลัดเริ่มน้อยแล้วนะคะ อยากได้ฟักทองย่างกับ baby spinach คืนมาค่ะ (สาขาเมเจอร์รัชโยธิน)
0,สาขา เมเจอร์เอกมัย ร้านค่อนข้างใหญ่แต่พนักงานน้อยมาก เดินเข้ามาไม่มีพนักงานต้อนรับให้นั่งโต๊ะ รอเกือบ 5. นาทีถึงมีพนักงานมารับรายการ ปรับปรุงด้วยค่ะ
0,สาขาเซนทรัลนครศรีธรรมราชค่ะ สั่งจานหลักไป1อย่างแต่มา2คน พนักไม่แจ้งว่าฟรีสลัดบาร์แค่ท่านเดียวเราก็กินกัน2คนตอนนี้วางบิลถึงจะรู้ว่าชาจค่าสลัดบาร์ 199 ปล.เพิ่งกินแค่ครั้ง2ครั้งไม่แจ้งกันก่อนตอนบอกรายการอาหาร เสียความรู้สึกนิดหน่อยค่ะ
